seg_idx,day_index,stamp_start_s,policy_on_mask,always_on_mask
0,0,6672.707920,0,1
1,0,6702.707920,0,1
2,0,16256.591535,0,1
3,0,16286.591535,0,1
4,0,23159.984247,0,1
5,0,23189.984247,0,1
6,0,23219.984247,0,1
7,0,23229.939498,0,1
8,0,23229.939498,0,1
9,0,23229.939498,0,1
10,0,23229.939498,0,1
11,0,23229.939498,0,1
12,0,23229.939498,0,1
13,0,23229.939498,0,1
14,0,23229.939498,0,1
15,0,23229.939498,0,1
16,0,23229.939498,0,1
17,0,23229.939498,0,1
18,0,23229.939498,0,1
19,0,23229.939498,0,1
20,0,23229.939498,0,1
21,0,23229.939498,0,1
22,0,23229.939498,0,1
23,0,23229.939498,0,1
24,0,23229.939498,0,1
25,0,23229.939498,0,1
26,0,23229.939498,0,1
27,0,23229.939498,0,1
28,0,23229.939498,0,1
29,0,23229.939498,0,1
30,0,23229.939498,0,1
31,0,23229.939498,0,1
32,0,23229.939498,0,1
33,0,23229.939498,0,1
34,0,23229.939498,0,1
35,0,23229.939498,0,1
36,0,23229.939498,0,1
37,0,23229.939498,0,1
38,0,23229.939498,0,1
39,0,23229.939498,0,1
40,0,23229.939498,0,1
41,0,23229.939498,0,1
42,0,23229.939498,0,1
43,0,23229.939498,0,1
44,0,23229.939498,0,1
45,0,23229.939498,0,1
46,0,23229.939498,0,1
47,0,23229.939498,0,1
48,0,23229.939498,0,1
49,0,23229.939498,0,1
50,0,23229.939498,0,1
51,0,23229.939498,0,1
52,0,23229.939498,0,1
53,0,23229.939498,0,1
54,0,23229.939498,0,1
55,0,23229.939498,0,1
56,0,23229.939498,0,1
57,0,23229.939498,0,1
58,0,23229.939498,0,1
59,0,23229.939498,0,1
60,1,32793.010467,0,1
61,1,32823.010467,0,1
62,1,42411.954905,0,1
63,1,52986.106425,0,1
64,1,52986.106425,0,1
65,1,52986.106425,0,1
66,1,52986.106425,0,1
67,1,52986.106425,0,1
68,1,52986.106425,0,1
69,1,52986.106425,0,1
70,1,52986.106425,0,1
71,1,52986.106425,0,1
72,1,52986.106425,0,1
73,1,52986.106425,0,1
74,1,52986.106425,0,1
75,1,52986.106425,0,1
76,1,52986.106425,0,1
77,1,52986.106425,0,1
78,1,52986.106425,0,1
79,1,52986.106425,0,1
80,1,52986.106425,0,1
81,1,52986.106425,0,1
82,1,52986.106425,0,1
83,1,52986.106425,0,1
84,1,52986.106425,0,1
85,1,52986.106425,0,1
86,1,52986.106425,0,1
87,1,52986.106425,0,1
88,2,60152.586971,0,1
89,2,60182.586971,0,1
90,2,70208.917955,0,1
91,2,79384.637316,0,1
92,2,79384.637316,0,1
93,2,79384.637316,0,1
94,2,79384.637316,0,1
95,2,79384.637316,0,1
96,2,79384.637316,0,1
97,2,79384.637316,0,1
98,2,79384.637316,0,1
99,2,79384.637316,0,1
100,2,79384.637316,0,1
101,2,79384.637316,0,1
102,2,79384.637316,0,1
103,2,79384.637316,0,1
104,2,79384.637316,0,1
105,2,79384.637316,0,1
106,2,79384.637316,0,1
107,2,79384.637316,0,1
108,2,79384.637316,0,1
109,3,87801.398697,0,1
110,3,87831.398697,0,1
111,3,91776.785810,0,1
112,3,102884.153582,0,1
113,3,102906.676210,0,1
114,3,102906.676210,0,1
115,3,102906.676210,0,1
116,3,102906.676210,0,1
117,3,102906.676210,0,1
118,3,102906.676210,0,1
119,3,102906.676210,0,1
120,3,102906.676210,0,1
121,3,102906.676210,0,1
122,3,102906.676210,0,1
123,3,102906.676210,0,1
124,3,102906.676210,0,1
125,3,102906.676210,0,1
126,3,102906.676210,0,1
127,3,102906.676210,0,1
128,3,102906.676210,0,1
129,3,102906.676210,0,1
130,3,102906.676210,0,1
131,3,102906.676210,0,1
132,3,102906.676210,0,1
133,3,102906.676210,0,1
134,3,102906.676210,0,1
135,3,102906.676210,0,1
136,3,102906.676210,0,1
137,3,102906.676210,0,1
138,3,102906.676210,0,1
139,3,102906.676210,0,1
140,3,102906.676210,0,1
141,3,102906.676210,0,1
142,3,102906.676210,0,1
143,3,102906.676210,0,1
144,3,102906.676210,0,1
