env_step_idx,day_index,step_start_s,sim_time_end_s,action_requested,camera_on_effective,budget_s_after_step
0,0,0.000000,30.000000,0,0,300.000000
1,0,30.000000,60.000000,0,0,300.000000
2,0,60.000000,90.000000,0,0,300.000000
3,0,90.000000,120.000000,0,0,300.000000
4,0,120.000000,150.000000,0,0,300.000000
5,0,150.000000,180.000000,0,0,300.000000
6,0,180.000000,210.000000,0,0,300.000000
7,0,210.000000,240.000000,0,0,300.000000
8,0,240.000000,270.000000,0,0,300.000000
9,0,270.000000,300.000000,0,0,300.000000
10,0,300.000000,330.000000,0,0,300.000000
11,0,330.000000,360.000000,0,0,300.000000
12,0,360.000000,390.000000,0,0,300.000000
13,0,390.000000,420.000000,0,0,300.000000
14,0,420.000000,450.000000,0,0,300.000000
15,0,450.000000,480.000000,0,0,300.000000
16,0,480.000000,510.000000,0,0,300.000000
17,0,510.000000,540.000000,0,0,300.000000
18,0,540.000000,570.000000,0,0,300.000000
19,0,570.000000,600.000000,0,0,300.000000
20,0,600.000000,630.000000,0,0,300.000000
21,0,630.000000,660.000000,0,0,300.000000
22,0,660.000000,690.000000,0,0,300.000000
23,0,690.000000,720.000000,0,0,300.000000
24,0,720.000000,750.000000,0,0,300.000000
25,0,750.000000,780.000000,0,0,300.000000
26,0,780.000000,810.000000,0,0,300.000000
27,0,810.000000,840.000000,0,0,300.000000
28,0,840.000000,870.000000,0,0,300.000000
29,0,870.000000,900.000000,0,0,300.000000
30,0,900.000000,930.000000,0,0,300.000000
31,0,930.000000,960.000000,0,0,300.000000
32,0,960.000000,990.000000,0,0,300.000000
33,0,990.000000,1020.000000,0,0,300.000000
34,0,1020.000000,1050.000000,0,0,300.000000
35,0,1050.000000,1080.000000,0,0,300.000000
36,0,1080.000000,1110.000000,0,0,300.000000
37,0,1110.000000,1140.000000,0,0,300.000000
38,0,1140.000000,1170.000000,0,0,300.000000
39,0,1170.000000,1200.000000,0,0,300.000000
40,0,1200.000000,1230.000000,0,0,300.000000
41,0,1230.000000,1260.000000,0,0,300.000000
42,0,1260.000000,1290.000000,0,0,300.000000
43,0,1290.000000,1320.000000,0,0,300.000000
44,0,1320.000000,1350.000000,0,0,300.000000
45,0,1350.000000,1380.000000,0,0,300.000000
46,0,1380.000000,1410.000000,0,0,300.000000
47,0,1410.000000,1440.000000,0,0,300.000000
48,0,1440.000000,1470.000000,0,0,300.000000
49,0,1470.000000,1500.000000,0,0,300.000000
50,0,1500.000000,1530.000000,0,0,300.000000
51,0,1530.000000,1560.000000,0,0,300.000000
52,0,1560.000000,1590.000000,0,0,300.000000
53,0,1590.000000,1620.000000,0,0,300.000000
54,0,1620.000000,1650.000000,0,0,300.000000
55,0,1650.000000,1680.000000,0,0,300.000000
56,0,1680.000000,1710.000000,0,0,300.000000
57,0,1710.000000,1740.000000,0,0,300.000000
58,0,1740.000000,1770.000000,0,0,300.000000
59,0,1770.000000,1800.000000,0,0,300.000000
60,0,1800.000000,1830.000000,0,0,300.000000
61,0,1830.000000,1860.000000,0,0,300.000000
62,0,1860.000000,1890.000000,0,0,300.000000
63,0,1890.000000,1920.000000,0,0,300.000000
64,0,1920.000000,1950.000000,0,0,300.000000
65,0,1950.000000,1980.000000,0,0,300.000000
66,0,1980.000000,2010.000000,0,0,300.000000
67,0,2010.000000,2040.000000,0,0,300.000000
68,0,2040.000000,2070.000000,0,0,300.000000
69,0,2070.000000,2100.000000,0,0,300.000000
70,0,2100.000000,2130.000000,0,0,300.000000
71,0,2130.000000,2160.000000,0,0,300.000000
72,0,2160.000000,2190.000000,0,0,300.000000
73,0,2190.000000,2220.000000,0,0,300.000000
74,0,2220.000000,2250.000000,0,0,300.000000
75,0,2250.000000,2280.000000,0,0,300.000000
76,0,2280.000000,2310.000000,0,0,300.000000
77,0,2310.000000,2340.000000,0,0,300.000000
78,0,2340.000000,2370.000000,0,0,300.000000
79,0,2370.000000,2400.000000,0,0,300.000000
80,0,2400.000000,2430.000000,0,0,300.000000
81,0,2430.000000,2460.000000,0,0,300.000000
82,0,2460.000000,2490.000000,0,0,300.000000
83,0,2490.000000,2520.000000,0,0,300.000000
84,0,2520.000000,2550.000000,0,0,300.000000
85,0,2550.000000,2580.000000,0,0,300.000000
86,0,2580.000000,2610.000000,0,0,300.000000
87,0,2610.000000,2640.000000,0,0,300.000000
88,0,2640.000000,2670.000000,0,0,300.000000
89,0,2670.000000,2700.000000,0,0,300.000000
90,0,2700.000000,2730.000000,0,0,300.000000
91,0,2730.000000,2760.000000,0,0,300.000000
92,0,2760.000000,2790.000000,0,0,300.000000
93,0,2790.000000,2820.000000,0,0,300.000000
94,0,2820.000000,2850.000000,0,0,300.000000
95,0,2850.000000,2880.000000,0,0,300.000000
96,0,2880.000000,2910.000000,0,0,300.000000
97,0,2910.000000,2940.000000,0,0,300.000000
98,0,2940.000000,2970.000000,0,0,300.000000
99,0,2970.000000,3000.000000,0,0,300.000000
100,0,3000.000000,3030.000000,0,0,300.000000
101,0,3030.000000,3060.000000,0,0,300.000000
102,0,3060.000000,3090.000000,0,0,300.000000
103,0,3090.000000,3120.000000,0,0,300.000000
104,0,3120.000000,3150.000000,0,0,300.000000
105,0,3150.000000,3180.000000,0,0,300.000000
106,0,3180.000000,3210.000000,0,0,300.000000
107,0,3210.000000,3240.000000,0,0,300.000000
108,0,3240.000000,3270.000000,0,0,300.000000
109,0,3270.000000,3300.000000,0,0,300.000000
110,0,3300.000000,3330.000000,0,0,300.000000
111,0,3330.000000,3360.000000,0,0,300.000000
112,0,3360.000000,3390.000000,0,0,300.000000
113,0,3390.000000,3420.000000,0,0,300.000000
114,0,3420.000000,3450.000000,0,0,300.000000
115,0,3450.000000,3480.000000,0,0,300.000000
116,0,3480.000000,3510.000000,0,0,300.000000
117,0,3510.000000,3540.000000,0,0,300.000000
118,0,3540.000000,3570.000000,0,0,300.000000
119,0,3570.000000,3600.000000,0,0,300.000000
120,0,3600.000000,3630.000000,0,0,300.000000
121,0,3630.000000,3660.000000,0,0,300.000000
122,0,3660.000000,3690.000000,0,0,300.000000
123,0,3690.000000,3720.000000,0,0,300.000000
124,0,3720.000000,3750.000000,0,0,300.000000
125,0,3750.000000,3780.000000,0,0,300.000000
126,0,3780.000000,3810.000000,0,0,300.000000
127,0,3810.000000,3840.000000,0,0,300.000000
128,0,3840.000000,3870.000000,0,0,300.000000
129,0,3870.000000,3900.000000,0,0,300.000000
130,0,3900.000000,3930.000000,0,0,300.000000
131,0,3930.000000,3960.000000,0,0,300.000000
132,0,3960.000000,3990.000000,0,0,300.000000
133,0,3990.000000,4020.000000,0,0,300.000000
134,0,4020.000000,4050.000000,0,0,300.000000
135,0,4050.000000,4080.000000,0,0,300.000000
136,0,4080.000000,4110.000000,0,0,300.000000
137,0,4110.000000,4140.000000,0,0,300.000000
138,0,4140.000000,4170.000000,0,0,300.000000
139,0,4170.000000,4200.000000,0,0,300.000000
140,0,4200.000000,4230.000000,0,0,300.000000
141,0,4230.000000,4260.000000,0,0,300.000000
142,0,4260.000000,4290.000000,0,0,300.000000
143,0,4290.000000,4320.000000,0,0,300.000000
144,0,4320.000000,4350.000000,0,0,300.000000
145,0,4350.000000,4380.000000,0,0,300.000000
146,0,4380.000000,4410.000000,0,0,300.000000
147,0,4410.000000,4440.000000,0,0,300.000000
148,0,4440.000000,4470.000000,0,0,300.000000
149,0,4470.000000,4500.000000,0,0,300.000000
150,0,4500.000000,4530.000000,0,0,300.000000
151,0,4530.000000,4560.000000,0,0,300.000000
152,0,4560.000000,4590.000000,0,0,300.000000
153,0,4590.000000,4620.000000,0,0,300.000000
154,0,4620.000000,4650.000000,0,0,300.000000
155,0,4650.000000,4680.000000,0,0,300.000000
156,0,4680.000000,4710.000000,0,0,300.000000
157,0,4710.000000,4740.000000,0,0,300.000000
158,0,4740.000000,4770.000000,0,0,300.000000
159,0,4770.000000,4800.000000,0,0,300.000000
160,0,4800.000000,4830.000000,0,0,300.000000
161,0,4830.000000,4860.000000,0,0,300.000000
162,0,4860.000000,4890.000000,0,0,300.000000
163,0,4890.000000,4920.000000,0,0,300.000000
164,0,4920.000000,4950.000000,0,0,300.000000
165,0,4950.000000,4980.000000,0,0,300.000000
166,0,4980.000000,5010.000000,0,0,300.000000
167,0,5010.000000,5040.000000,0,0,300.000000
168,0,5040.000000,5070.000000,0,0,300.000000
169,0,5070.000000,5100.000000,0,0,300.000000
170,0,5100.000000,5130.000000,0,0,300.000000
171,0,5130.000000,5160.000000,0,0,300.000000
172,0,5160.000000,5190.000000,0,0,300.000000
173,0,5190.000000,5220.000000,0,0,300.000000
174,0,5220.000000,5250.000000,0,0,300.000000
175,0,5250.000000,5280.000000,0,0,300.000000
176,0,5280.000000,5310.000000,0,0,300.000000
177,0,5310.000000,5340.000000,0,0,300.000000
178,0,5340.000000,5370.000000,0,0,300.000000
179,0,5370.000000,5400.000000,0,0,300.000000
180,0,5400.000000,5430.000000,0,0,300.000000
181,0,5430.000000,5460.000000,0,0,300.000000
182,0,5460.000000,5490.000000,0,0,300.000000
183,0,5490.000000,5520.000000,0,0,300.000000
184,0,5520.000000,5550.000000,0,0,300.000000
185,0,5550.000000,5580.000000,0,0,300.000000
186,0,5580.000000,5610.000000,0,0,300.000000
187,0,5610.000000,5640.000000,0,0,300.000000
188,0,5640.000000,5670.000000,0,0,300.000000
189,0,5670.000000,5700.000000,0,0,300.000000
190,0,5700.000000,5730.000000,0,0,300.000000
191,0,5730.000000,5760.000000,0,0,300.000000
192,0,5760.000000,5790.000000,0,0,300.000000
193,0,5790.000000,5820.000000,0,0,300.000000
194,0,5820.000000,5850.000000,0,0,300.000000
195,0,5850.000000,5880.000000,0,0,300.000000
196,0,5880.000000,5910.000000,0,0,300.000000
197,0,5910.000000,5940.000000,0,0,300.000000
198,0,5940.000000,5970.000000,0,0,300.000000
199,0,5970.000000,6000.000000,0,0,300.000000
200,0,6000.000000,6030.000000,0,0,300.000000
201,0,6030.000000,6060.000000,0,0,300.000000
202,0,6060.000000,6090.000000,0,0,300.000000
203,0,6090.000000,6120.000000,0,0,300.000000
204,0,6120.000000,6150.000000,0,0,300.000000
205,0,6150.000000,6180.000000,0,0,300.000000
206,0,6180.000000,6210.000000,0,0,300.000000
207,0,6210.000000,6240.000000,0,0,300.000000
208,0,6240.000000,6270.000000,0,0,300.000000
209,0,6270.000000,6300.000000,0,0,300.000000
210,0,6300.000000,6330.000000,0,0,300.000000
211,0,6330.000000,6360.000000,0,0,300.000000
212,0,6360.000000,6390.000000,0,0,300.000000
213,0,6390.000000,6420.000000,0,0,300.000000
214,0,6420.000000,6450.000000,0,0,300.000000
215,0,6450.000000,6480.000000,0,0,300.000000
216,0,6480.000000,6510.000000,0,0,300.000000
217,0,6510.000000,6540.000000,0,0,300.000000
218,0,6540.000000,6570.000000,0,0,300.000000
219,0,6570.000000,6600.000000,0,0,300.000000
220,0,6600.000000,6630.000000,0,0,300.000000
221,0,6630.000000,6660.000000,0,0,300.000000
222,0,6660.000000,6690.000000,0,0,300.000000
223,0,6690.000000,6720.000000,0,0,300.000000
224,0,6720.000000,6750.000000,0,0,300.000000
225,0,6750.000000,6780.000000,0,0,300.000000
226,0,6780.000000,6810.000000,0,0,300.000000
227,0,6810.000000,6840.000000,0,0,300.000000
228,0,6840.000000,6870.000000,0,0,300.000000
229,0,6870.000000,6900.000000,0,0,300.000000
230,0,6900.000000,6930.000000,0,0,300.000000
231,0,6930.000000,6960.000000,0,0,300.000000
232,0,6960.000000,6990.000000,0,0,300.000000
233,0,6990.000000,7020.000000,0,0,300.000000
234,0,7020.000000,7050.000000,0,0,300.000000
235,0,7050.000000,7080.000000,0,0,300.000000
236,0,7080.000000,7110.000000,0,0,300.000000
237,0,7110.000000,7140.000000,0,0,300.000000
238,0,7140.000000,7170.000000,0,0,300.000000
239,0,7170.000000,7200.000000,0,0,300.000000
240,0,7200.000000,7230.000000,0,0,300.000000
241,0,7230.000000,7260.000000,0,0,300.000000
242,0,7260.000000,7290.000000,0,0,300.000000
243,0,7290.000000,7320.000000,0,0,300.000000
244,0,7320.000000,7350.000000,0,0,300.000000
245,0,7350.000000,7380.000000,0,0,300.000000
